title,distance,prices
2016 Maruti Suzuki Alto K10 VXi AMT [2014-2018],"47,436 km  |  Petrol  |  Hyderabad",Rs. 3.95 Lakh
2013 Maruti Suzuki Wagon R 1.0 VXi,"45,625 km  |  Petrol  |  Hyderabad",Rs. 3.68 Lakh
2019 Hyundai Elite i20 Sportz 1.2,"51,977 km  |  Petrol  |  Hyderabad",Rs. 6.8 Lakh
2017 Honda Jazz SV Petrol,"67,961 km  |  Petrol  |  Hyderabad",Rs. 5.97 Lakh
2017 Maruti Suzuki Celerio VXi [2017-2019],"21,287 km  |  Petrol  |  Hyderabad",Rs. 4.19 Lakh
2020 Kia Seltos HTK Plus 1.5 [2019-2020],"54,877 km  |  Petrol  |  Hyderabad",Rs. 9.79 Lakh
2011 Maruti Suzuki Swift VXi,"68,239 km  |  Petrol  |  Hyderabad",Rs. 3.3 Lakh
2018 Tata Tiago Revotron XZ,"82,228 km  |  Petrol  |  Hyderabad",Rs. 4.68 Lakh
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],"35,174 km  |  Petrol  |  Hyderabad",Rs. 6.12 Lakh
2010 Hyundai i10 Magna 1.2,"50,014 km  |  Petrol  |  Hyderabad",Rs. 2.52 Lakh
2022 Renault Kwid CLIMBER AMT,"9,469 km  |  Petrol  |  Hyderabad",Rs. 5.96 Lakh
2013 Hyundai i10 1.1L iRDE Magna Special Edition,"57,078 km  |  Petrol  |  Hyderabad",Rs. 3.22 Lakh
2016 Maruti Suzuki Alto K10 VXi [2014-2019],"79,353 km  |  Petrol  |  Hyderabad",Rs. 3.24 Lakh
2013 Hyundai i10 Sportz 1.2 AT Kappa2,"86,221 km  |  Petrol  |  Hyderabad",Rs. 3.31 Lakh
2012 Maruti Suzuki Alto K10 VXi,"91,246 km  |  Petrol  |  Hyderabad",Rs. 2.09 Lakh
2018 Renault Kwid CLIMBER 1.0 [2017-2019],"41,039 km  |  Petrol  |  Hyderabad",Rs. 3.49 Lakh
2013 Hyundai i10 1.2 L Kappa Magna Special Edition,"68,730 km  |  Petrol  |  Hyderabad",Rs. 3.17 Lakh
2016 Volkswagen Polo Comfortline 1.2L (P),"96,940 km  |  Petrol  |  Hyderabad",Rs. 5.01 Lakh
2019 Datsun redi-GO S [2016-2019],"29,754 km  |  Petrol  |  Hyderabad",Rs. 3.19 Lakh
2016 Hyundai Eon 1.0 Kappa Magna + [2014-2016],"60,578 km  |  Petrol  |  Hyderabad",Rs. 2.87 Lakh
2013 Hyundai i10 Sportz 1.2 AT Kappa2,"59,283 km  |  Petrol  |  Hyderabad",Rs. 3.62 Lakh
2018 Ford Freestyle Trend 1.2 Ti-VCT [2018-2019],"35,161 km  |  Petrol  |  Hyderabad",Rs. 5.85 Lakh
2021 Tata Nexon XM Diesel,"32,728 km  |  Diesel  |  Hyderabad",Rs. 8.91 Lakh
2013 Maruti Suzuki Swift VDi,"85,723 km  |  Diesel  |  Hyderabad",Rs. 4.48 Lakh
2015 Datsun GO Plus T,"68,028 km  |  Petrol  |  Hyderabad",Rs. 2.82 Lakh
