title,distance,prices
2019 Hyundai Venue SX 1.4 CRDi,"38,101 km  |  Diesel  |  Pune",Rs. 10.5 Lakh
2019 Jeep Compass Trailhawk (O) 2.0 4x4,"23,800 km  |  Diesel  |  Pune",Rs. 24.5 Lakh
2019 Jeep Compass Trailhawk (O) 2.0 4x4,"23,800 km  |  Diesel  |  Pune",Rs. 24.5 Lakh
2018 Maruti Suzuki Swift ZDi Plus,"44,022 km  |  Diesel  |  Pune",Rs. 8 Lakh
2018 Hyundai Elite i20 Asta 1.2 AT,"42,979 km  |  Petrol  |  Pune",Rs. 8.1 Lakh
2018 Volvo S90 Momentum D4 [2018-2020],"32,551 km  |  Diesel  |  Pune",Rs. 39 Lakh
2017 Ford EcoSport Titanium 1.5L TDCi,"97,514 km  |  Diesel  |  Pune",Rs. 7.65 Lakh
2021 Volvo XC90 Excellence [2016-2020],"39,000 km  |  Petrol  |  Pune",Rs. 82 Lakh
2012 Mercedes-Benz C-Class 200 CGI,"46,900 km  |  Petrol  |  Pune",Rs. 11.5 Lakh
2013 Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],"56,423 km  |  Petrol  |  Pune",Rs. 3.8 Lakh
2011 Honda Civic 1.8V MT,"62,598 km  |  Petrol  |  Pune",Rs. 2.9 Lakh
2013 Mercedes-Benz E-Class E350 CDI Avantgarde,"45,800 km  |  Diesel  |  Pune",Rs. 13.5 Lakh
2019 Ford Endeavour Titanium 2.2 4x2 AT,"53,537 km  |  Diesel  |  Pune",Rs. 31.5 Lakh
2016 Land Rover Range Rover 4.4 SDV8 Autobiography LWB,"74,000 km  |  Diesel  |  Pune",Rs. 1.55 Crore
2022 Mahindra XUV700 AX 7 Diesel AT 7 STR [2021],"48,678 km  |  Diesel  |  Pune",Rs. 26.7 Lakh
2009 Audi A4 3.2 FSI quattro,"1,17,500 km  |  Petrol  |  Pune",Rs. 7.5 Lakh
2012 Hyundai i20 Magna 1.2,"71,204 km  |  Petrol  |  Pune",Rs. 3.9 Lakh
2015 Maruti Suzuki Wagon R 1.0 LXI CNG (O),"78,071 km  |  CNG  |  Pune",Rs. 3.9 Lakh
2017 Honda Brio S MT,"59,123 km  |  Petrol  |  Pune",Rs. 4 Lakh
2020 Audi A3 35 TDI Premium Plus + Sunroof,"30,000 km  |  Diesel  |  Pune",Rs. 25.5 Lakh
2020 Kia Carnival Prestige 7 STR,"62,000 km  |  Diesel  |  Pune",Rs. 28.5 Lakh
2013 Mahindra XUV500 W8 AWD,"1,59,000 km  |  Diesel  |  Pune",Rs. 6.85 Lakh
2013 Ford Fiesta Titanium+ Diesel [2011-2014],"1,18,838 km  |  Diesel  |  Pune",Rs. 3.55 Lakh
2021 Tata Harrier XZA Plus,"32,900 km  |  Diesel  |  Pune",Rs. 21.5 Lakh
2015 Audi A4 2.0 TDI (177bhp) Premium,"53,685 km  |  Diesel  |  Pune",Rs. 16.5 Lakh
2019 Maruti Suzuki Celerio ZXi (O) AMT [2019-2020],"76,620 km  |  Petrol  |  Pune",Rs. 4.99 Lakh
2022 Maruti Suzuki Celerio ZXi,"13,863 km  |  Petrol  |  Pune",Rs. 5.89 Lakh
2014 Maruti Suzuki Ertiga ZXi,"28,052 km  |  Petrol  |  Pune",Rs. 6.73 Lakh
2015 Maruti Suzuki Celerio VXi AMT ABS,"30,343 km  |  Petrol  |  Pune",Rs. 4.3 Lakh
2015 Maruti Suzuki Ertiga ZXI,"32,989 km  |  Petrol  |  Pune",Rs. 7.23 Lakh
2022 Maruti Suzuki Celerio ZXi,"6,409 km  |  Petrol  |  Pune",Rs. 5.89 Lakh
2018 Renault Kwid 1.0 RXT AMT Opt,"40,822 km  |  Petrol  |  Pune",Rs. 4.05 Lakh
