title,distance,prices
2017 Toyota Corolla Altis GL Petrol,"61,000 km  |  Petrol  |  Kolkata",Rs. 8.95 Lakh
2018 Maruti Suzuki Dzire ZDi,"28,119 km  |  Diesel  |  Kolkata",Rs. 6.25 Lakh
2022 Toyota Fortuner Legender 4X4 AT 2.8 Legender,"3,397 km  |  Diesel  |  Kolkata",Rs. 55.99 Lakh
2014 Honda City SV,"58,782 km  |  Petrol  |  Kolkata",Rs. 3.99 Lakh
2018 Maruti Suzuki S-Cross Alpha 1.3,"53,222 km  |  Diesel  |  Kolkata",Rs. 7.75 Lakh
2018 Maruti Suzuki S-Cross Alpha 1.3,"53,222 km  |  Diesel  |  Kolkata",Rs. 7.75 Lakh
2020 Maruti Suzuki Wagon R VXi (O) 1.0,"18,677 km  |  Petrol  |  Kolkata",Rs. 5.45 Lakh
2022 Audi A4 Technology 40 TFSI [2021-2022],"2,146 km  |  Petrol  |  Kolkata",Rs. 42.95 Lakh
2016 Jaguar XJ L 3.0 Portfolio,"25,000 km  |  Diesel  |  Kolkata",Rs. 41 Lakh
2019 Honda Civic ZX CVT Petrol [2019-2020],"66,516 km  |  Petrol  |  Kolkata",Rs. 13 Lakh
2022 Kia Carnival Limousine Plus 7 STR,"57,250 km  |  Diesel  |  Kolkata",Rs. 28 Lakh
2016 Land Rover Discovery Sport HSE,"54,703 km  |  Diesel  |  Kolkata",Rs. 23 Lakh
2014 Audi A6 2.0 TDI Premium Plus,"34,000 km  |  Diesel  |  Kolkata",Rs. 13.15 Lakh
2022 Mahindra XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR [2021],"5,523 km  |  Diesel  |  Kolkata",Rs. 23 Lakh
2023 Kia Seltos HTK Plus 1.5 iMT,"1,400 km  |  Petrol  |  Kolkata",Rs. 13 Lakh
2021 Hyundai Creta SX 1.5 Petrol [2020-2022],"30,909 km  |  Petrol  |  Kolkata",Rs. 12 Lakh
2017 Audi Q7 45 TDI Premium Plus,"39,254 km  |  Diesel  |  Kolkata",Rs. 42 Lakh
2022 Mercedes-Benz C-Class C 220d,"8,919 km  |  Diesel  |  Kolkata",Rs. 57 Lakh
2023 Kia Carnival Limousine Plus 7 STR,"2,000 km  |  Diesel  |  Kolkata",Rs. 37 Lakh
2020 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],"17,838 km  |  Diesel  |  Kolkata",Rs. 53 Lakh
2019 Kia Seltos HTX 1.5 [2019-2020],"39,200 km  |  Petrol  |  Kolkata",Rs. 9.95 Lakh
2016 Toyota Fortuner 4x2 AT,"89,689 km  |  Diesel  |  Kolkata",Rs. 16.95 Lakh
2022 Audi S5 Sportback 3.0 TFSI Quattro,"14,000 km  |  Petrol  |  Kolkata",Rs. 62 Lakh
2016 Jaguar XJ L 3.0 Premium Luxury [2016-2018],"46,000 km  |  Diesel  |  Kolkata",Rs. 42 Lakh
2018 Volvo S60 Cross Country Inscription [2016-2020],"66,452 km  |  Diesel  |  Kolkata",Rs. 19.35 Lakh
2017 Hyundai Elantra 1.6 SX (O) AT,"57,000 km  |  Diesel  |  Kolkata",Rs. 10 Lakh
